INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (0, 56, '2019-07-01 1:25:01', -27.5);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (37, 43, '2019-01-14 03:47:30', 190.19);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (38, 45, '2019-10-11 11:11:41', -210.81);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (39, 53, '2019-08-04 4:13:47', 138.48);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (40, 54, '2019-04-22 22:09:53', 47.56);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (41, 59, '2019-10-28 01:01:52', 5.18);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (42, 5, '2019-06-26 03:34:14', 105.19);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (43, 35, '2019-06-24 24:32:49', 118.13);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (44, 47, '2019-11-01 1:41:34', -66.51);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (45, 35, '2019-01-24 09:58:05', 200.92);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (46, 35, '2019-06-27 27:23:02', -250.57);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (47, 41, '2019-01-23 23:41:12', 211.16);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (48, 24, '2019-07-17 01:18:26', 111.66);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (49, 42, '2019-06-26 06:36:39', 111.1);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (50, 51, '2019-03-16 16:26:42', -58.22);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (51, 59, '2019-07-24 24:57:52', 14.49);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (52, 52, '2019-04-26 26:07:22', 76.2);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (53, 63, '2019-06-23 23:47:25', 41.91);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (54, 41, '2019-04-16 08:44:31', -24.22);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (55, 12, '2019-09-07 03:23:23', -71.43);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (56, 28, '2019-03-17 08:30:55', 26.57);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (57, 63, '2019-10-01 04:20:24', -26.53);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (58, 65, '2019-03-07 7:11:41', 4.21);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (59, 54, '2019-03-15 15:08:39', 18.28);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (60, 13, '2019-11-21 03:21:44', -113.51);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (61, 35, '2019-05-02 2:23:58', 36.84);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (62, 5, '2019-08-16 16:52:09', 95.24);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (63, 61, '2019-01-13 04:06:11', 230.82);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (64, 20, '2019-06-23 07:38:25', 80.18);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (65, 25, '2019-09-17 17:11:06', -87.61);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (66, 22, '2019-05-10 04:28:53', 62.45);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (67, 59, '2019-12-23 06:17:45', -46.84);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (68, 58, '2019-03-14 05:48:29', -161.92);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (69, 2, '2019-07-06 6:03:00', -195.78);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (70, 56, '2019-03-15 08:46:09', -43.35);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (71, 3, '2019-03-13 13:43:53', -79.05);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (72, 49, '2019-01-01 1:34:29', 8.12);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (73, 2, '2019-10-28 07:50:53', -57.14);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (74, 31, '2019-04-05 5:06:50', -201.42);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (75, 41, '2019-08-15 06:18:48', -134.07);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (76, 48, '2019-02-26 09:49:49', -94.86);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (77, 6, '2019-04-15 01:24:32', 26.92);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (78, 19, '2019-10-02 2:35:41', 51.42);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (79, 12, '2019-09-27 09:58:34', 13.5);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (80, 42, '2019-01-01 1:59:11', 6.58);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (81, 20, '2019-07-22 22:11:42', 89.39);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (82, 13, '2019-05-04 08:37:07', 11.95);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (83, 33, '2019-03-06 6:11:04', 176.44);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (84, 18, '2019-02-17 04:22:48', 63.87);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (85, 37, '2019-08-05 06:04:37', -58.05);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (86, 9, '2019-07-14 14:39:25', 145.35);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (87, 61, '2019-03-04 4:28:19', 12.52);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (88, 30, '2019-04-07 7:00:30', 26.8);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (89, 32, '2019-03-02 2:59:51', -86.32);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (90, 21, '2019-07-25 25:46:35', -181.76);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (91, 56, '2019-11-19 19:59:44', -65.85);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (92, 5, '2019-08-24 24:34:49', 226.93);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (93, 56, '2019-10-03 03:07:13', 84.86);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (94, 25, '2019-11-07 7:40:46', 94.46);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (95, 22, '2019-09-10 09:44:24', -44.73);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (96, 47, '2019-09-17 17:41:54', -79.2);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (97, 47, '2019-07-19 08:01:38', 230.86);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (98, 38, '2019-04-21 08:45:30', -36.5);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (99, 7, '2019-04-21 21:35:07', -92.04);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (100, 4, '2019-01-12 12:18:18', -59.91);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (101, 49, '2019-01-15 05:32:29', -47.15);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (102, 17, '2019-11-01 1:50:01', 0.35);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (103, 2, '2019-10-15 15:30:12', -24.64);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (104, 28, '2019-07-09 9:47:48', -162.58);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (105, 24, '2019-12-27 27:24:43', -143.95);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (106, 11, '2019-12-11 11:46:46', -346.66);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (107, 1, '2019-01-24 24:32:53', 53.93);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (108, 50, '2019-01-02 00:46:39', 104.91);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (109, 25, '2019-05-22 22:12:54', -228.06);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (110, 41, '2019-12-00 0:41:21', 90.27);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (111, 62, '2019-12-11 11:54:20', -51.91);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (112, 65, '2019-09-25 25:12:51', 33.88);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (113, 6, '2019-10-17 17:46:20', -24.24);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (114, 64, '2019-03-05 5:13:57', 17.73);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (115, 54, '2019-06-22 00:49:00', 26.8);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (116, 15, '2019-02-06 6:34:47', 2.74);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (117, 27, '2019-01-24 24:33:16', 23.0);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (118, 17, '2019-06-21 21:27:30', -93.95);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (119, 15, '2019-11-20 04:09:19', -56.39);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (120, 58, '2019-09-26 07:22:12', -165.54);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (121, 6, '2019-03-21 02:43:55', -164.82);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (122, 61, '2019-08-09 9:39:34', -122.7);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (123, 61, '2019-03-20 20:28:35', -84.1);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (124, 57, '2019-03-24 08:12:35', -28.83);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (125, 22, '2019-05-27 09:57:00', -17.29);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (126, 45, '2019-07-08 8:10:26', 19.49);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (127, 29, '2019-03-02 2:59:19', 37.53);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (128, 25, '2019-03-18 18:22:25', 170.45);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (129, 10, '2019-07-00 0:09:09', -60.86);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (130, 57, '2019-07-01 1:46:36', 339.15);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (131, 55, '2019-06-12 12:46:14', -197.53);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (132, 41, '2019-08-21 21:11:24', 11.94);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (133, 32, '2019-07-27 27:34:42', -110.49);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (134, 35, '2019-08-25 25:00:45', 257.64);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (135, 57, '2019-03-26 26:58:38', -188.14);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (136, 38, '2019-07-19 19:14:35', -65.56);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (137, 62, '2019-01-22 22:29:27', 76.36);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (138, 36, '2019-03-22 07:30:36', 99.23);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (139, 47, '2019-06-20 01:42:35', 167.72);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (140, 57, '2019-03-13 06:36:35', -231.22);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (141, 54, '2019-12-04 09:42:50', -231.63);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (142, 17, '2019-11-13 13:01:51', 33.19);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (143, 42, '2019-12-28 04:42:36', 252.84);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (144, 13, '2019-09-21 05:48:19', -25.65);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (145, 45, '2019-11-05 05:10:51', -210.02);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (146, 25, '2019-03-03 3:10:50', 66.14);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (147, 31, '2019-08-27 27:17:34', 44.8);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (148, 43, '2019-10-03 3:52:22', 42.44);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (149, 9, '2019-12-19 19:18:14', 3.79);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (150, 64, '2019-05-21 21:54:43', -69.87);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (151, 49, '2019-09-14 14:18:04', -52.09);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (152, 39, '2019-04-15 15:47:31', 84.14);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (153, 11, '2019-02-02 2:55:38', -124.71);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (154, 13, '2019-08-02 2:38:33', -17.0);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (155, 25, '2019-01-02 2:33:05', -111.25);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (156, 48, '2019-04-17 17:27:18', 39.64);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (157, 52, '2019-01-01 1:06:43', 135.59);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (158, 23, '2019-10-20 20:31:19', -9.59);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (159, 6, '2019-03-11 11:51:40', 26.36);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (160, 59, '2019-06-11 09:39:58', -70.15);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (161, 41, '2019-03-20 20:56:04', -259.01);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (162, 8, '2019-12-21 03:24:47', -104.35);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (163, 16, '2019-03-17 03:48:15', 39.56);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (164, 18, '2019-04-23 23:58:58', -145.0);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (165, 38, '2019-04-20 00:13:26', -54.01);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (166, 29, '2019-08-03 3:15:57', 146.51);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (167, 61, '2019-04-08 04:00:53', -30.65);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (168, 20, '2019-08-23 04:27:23', 14.65);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (169, 20, '2019-06-03 09:06:30', 181.07);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (170, 13, '2019-10-26 26:52:03', 18.63);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (171, 35, '2019-09-27 27:33:40', -26.38);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (172, 16, '2019-11-00 02:25:08', -66.16);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (173, 5, '2019-10-00 0:16:42', -154.1);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (174, 39, '2019-08-01 09:44:01', 287.59);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (175, 42, '2019-08-18 03:08:25', -65.96);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (176, 36, '2019-04-28 02:28:27', -189.11);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (177, 13, '2019-05-19 09:13:23', 25.07);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (178, 34, '2019-03-29 29:45:39', -136.57);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (179, 6, '2019-06-22 22:03:55', 9.08);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (180, 15, '2019-06-14 14:56:47', -147.88);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (181, 59, '2019-02-24 01:12:25', 87.23);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (182, 17, '2019-09-24 24:34:16', 63.29);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (183, 36, '2019-05-19 19:21:24', 104.68);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (184, 29, '2019-09-03 3:11:35', 239.46);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (185, 64, '2019-12-17 17:46:14', 10.79);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (186, 25, '2019-12-10 06:06:04', 258.36);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (187, 1, '2019-05-22 22:07:27', 38.33);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (188, 22, '2019-04-05 5:29:32', 334.04);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (189, 15, '2019-07-05 5:17:38', 16.06);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (190, 33, '2019-01-10 10:36:12', -5.89);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (191, 19, '2019-03-20 20:29:31', 11.36);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (192, 37, '2019-06-13 13:06:39', 195.55);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (193, 16, '2019-11-16 16:08:07', 98.97);
INSERT INTO transaction (transaction_id, acct_id, timestamp, amount) VALUES (194, 6, '2019-04-13 13:36:12', -141.11);
